time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1681375209.7040315,0.0,0.0,0.3,0.046117474544189484,70.8,-33.9,298.63,-135.9,49.2,199.89,46.2,201.0,179.08,-39.0,-74.1,291.85
1681375209.7289896,0.0,0.0,0.3,0.046117474544189484,71.1,-36.6,295.24,-135.0,50.4,197.96,46.5,200.1,181.02,-38.7,-72.0,288.46
1681375209.7527747,0.0,0.0,0.3,0.046190793263655605,71.7,-35.7,297.18,-135.3,49.2,198.44,44.4,200.7,179.08,-38.7,-74.1,289.43
1681375209.7763965,0.0,0.0,0.3,0.046190793263655605,73.2,-36.0,294.27,-136.8,50.7,195.54,44.7,204.0,179.08,-38.7,-74.1,285.56
1681375209.799697,0.0,0.0,0.3,0.046190793263655605,70.2,-36.6,296.21,-135.9,50.1,195.05,44.1,200.4,177.14,-37.8,-75.9,287.98
1681375209.8241796,0.0,0.0,0.3,0.046264111983121727,72.6,-35.1,299.11,-134.7,48.9,198.92,47.7,199.5,178.11,-39.0,-71.4,285.56
1681375209.848255,0.0,0.0,0.3,0.046264111983121727,72.0,-35.4,291.85,-137.4,48.0,197.47,46.2,199.2,178.6,-40.5,-72.6,285.56
1681375209.872686,0.0,0.0,0.3,0.046264111983121727,74.1,-35.4,291.37,-135.6,49.2,198.44,46.5,198.6,177.14,-38.4,-74.4,286.53
1681375209.89661,0.0,0.0,0.3,0.04641074942205396,71.7,-35.7,295.72,-136.2,51.0,196.99,45.6,199.2,177.63,-40.2,-75.6,284.59
1681375209.920308,0.0,0.0,0.3,0.04641074942205396,73.2,-38.4,296.69,-136.8,49.5,195.54,43.8,199.5,179.08,-38.4,-76.2,287.01
1681375209.943767,0.0,0.0,0.3,0.046484068141520084,73.5,-35.1,292.82,-135.3,50.4,196.99,46.2,201.0,174.72,-38.4,-74.4,286.53
1681375209.9684525,0.0,0.0,0.3,0.046484068141520084,73.2,-36.0,290.88,-134.7,49.8,196.99,44.7,201.3,176.66,-37.8,-74.4,288.46
1681375209.9922588,0.0,0.0,0.3,0.046557386860986205,72.0,-33.9,293.3,-133.2,49.5,196.5,46.8,200.4,180.05,-40.5,-74.1,286.53
1681375210.0161076,0.0,0.0,0.3,0.046557386860986205,73.5,-34.2,294.76,-136.2,49.2,196.5,43.8,201.6,177.63,-38.4,-72.9,286.53
1681375210.0402465,0.0,0.0,0.3,0.046557386860986205,72.0,-38.4,295.72,-137.7,49.2,194.57,44.7,199.2,179.56,-38.7,-76.2,285.08
1681375210.0641625,0.0,0.0,0.3,0.046630705580452333,71.4,-35.4,296.21,-135.6,51.0,196.02,45.3,202.5,179.08,-37.2,-73.5,286.04
1681375210.0854502,0.0,0.0,0.3,0.046630705580452333,72.9,-35.7,297.18,-137.1,48.6,198.44,47.4,199.2,179.56,-38.4,-73.8,287.98
1681375210.109198,0.0,0.0,0.3,0.04670402429991844,71.4,-35.1,294.76,-137.4,50.4,197.47,45.6,201.9,179.08,-37.8,-74.1,288.46
1681375210.134115,0.0,0.0,0.3,0.04670402429991844,70.5,-34.8,292.82,-136.8,49.5,196.99,45.0,200.4,178.6,-36.6,-72.6,284.59
1681375210.1572766,0.0,0.0,0.3,0.04670402429991844,72.0,-37.2,298.14,-136.5,50.4,200.38,46.5,200.7,177.63,-40.8,-74.7,287.5
1681375210.181365,0.0,0.0,0.3,0.04670402429991844,73.8,-35.7,297.18,-137.1,47.1,197.47,47.4,200.1,177.14,-40.5,-74.1,287.01
1681375210.2057815,0.0,0.0,0.3,0.04670402429991844,72.9,-34.5,297.18,-135.9,48.9,195.05,45.6,200.7,177.14,-40.2,-75.6,288.95
