time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1681373441.9457781,0.0,0.0,0.3,0.030500587297905925,-12.3,-63.0,206.18,-48.6,49.2,153.91,21.3,54.0,128.26,-26.7,-2.7,166.98
1681373441.9666731,0.0,0.0,0.3,0.031013818334168764,-12.9,-64.5,208.6,-49.2,49.2,155.36,22.2,53.4,126.81,-27.6,-4.5,167.46
1681373441.9907498,0.0,0.0,0.3,0.031013818334168764,-11.1,-63.0,208.6,-49.5,48.6,156.33,21.9,53.1,127.78,-27.0,-3.0,164.08
1681373442.0141597,0.0,0.0,0.3,0.031013818334168764,-13.5,-63.6,209.09,-49.5,48.3,153.43,21.6,52.8,125.84,-27.3,-5.7,162.14
1681373442.0369866,0.0,0.0,0.3,0.031087137053634882,-13.8,-63.0,209.09,-46.5,49.2,152.46,24.9,53.7,124.87,-28.8,-4.5,162.62
1681373442.0591245,0.0,0.0,0.3,0.031087137053634882,-11.4,-63.6,208.12,-49.5,48.9,153.43,22.5,53.7,127.78,-25.8,-5.1,166.01
1681373442.0829253,0.0,0.0,0.3,0.031087137053634882,-12.6,-63.0,211.02,-50.4,48.6,153.43,22.5,54.9,129.23,-28.5,-3.3,166.5
1681373442.1044037,0.0,0.0,0.3,0.031160455773101003,-13.2,-64.8,210.06,-49.2,49.2,154.4,23.4,51.6,126.32,-28.5,-5.4,161.17
1681373442.128821,0.0,0.0,0.3,0.031160455773101003,-13.8,-60.3,208.6,-50.4,48.9,152.94,21.6,54.6,128.26,-26.4,-3.6,163.59
1681373442.150681,0.0,0.0,0.3,0.031160455773101003,-12.9,-61.8,205.7,-51.6,50.7,154.4,23.4,53.1,127.29,-27.0,-4.8,163.11
1681373442.1746976,0.0,0.0,0.3,0.031160455773101003,-13.2,-64.2,206.18,-53.1,48.9,153.91,22.2,52.8,127.78,-27.6,-3.9,162.14
1681373442.1974905,0.0,0.0,0.3,0.031160455773101003,-13.5,-61.8,209.09,-48.3,50.4,150.52,20.7,52.8,123.9,-27.9,-5.4,165.04
1681373442.2205377,0.0,0.0,0.3,0.031160455773101003,-12.3,-63.3,207.15,-48.6,51.6,152.94,23.7,53.1,124.39,-26.7,-6.0,166.01
1681373442.2436497,0.0,0.0,0.3,0.031160455773101003,-14.7,-63.6,209.57,-47.7,48.0,154.4,21.6,53.1,128.26,-26.4,-3.9,164.08
1681373442.2672298,0.0,0.0,0.3,0.031160455773101003,-13.8,-64.2,207.15,-49.8,47.1,151.98,23.7,50.1,126.81,-27.9,-3.3,166.5
1681373442.289077,0.0,0.0,0.3,0.03145373065096548,-13.5,-61.5,208.12,-48.3,48.0,151.49,21.0,53.4,125.36,-27.3,-3.9,163.59
1681373442.3116345,0.0,0.0,0.3,0.03145373065096548,-13.5,-64.2,208.12,-50.4,48.6,154.4,21.9,52.8,130.2,-25.8,-5.1,164.08
