time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1681389498.0440598,0.0,0.0,0.3,0.023388671509692285,48.0,-181.8,-205.22,-191.1,-243.3,517.88,-38.7,-78.6,-29.52,-44.1,-186.6,194.57
1681389498.074125,0.0,0.0,0.3,0.023388671509692285,45.6,-181.8,-205.7,-190.8,-240.9,518.85,-41.1,-77.4,-31.46,-44.1,-187.5,196.99
1681389498.0975792,0.0,0.0,0.3,0.023388671509692285,48.6,-179.1,-204.73,-193.2,-242.4,520.3,-42.6,-76.8,-29.52,-43.5,-188.4,195.54
1681389498.1217678,0.0,0.0,0.3,0.023388671509692285,48.3,-180.6,-204.73,-190.2,-241.8,515.46,-40.2,-76.2,-32.91,-46.5,-188.1,193.6
1681389498.1375957,0.0,0.0,0.3,0.023388671509692285,48.0,-180.9,-207.64,-192.0,-240.6,518.36,-41.4,-78.9,-30.49,-40.8,-186.3,195.54
1681389498.1689618,0.0,0.0,0.3,0.023388671509692285,47.7,-180.9,-206.67,-192.6,-241.8,517.4,-37.8,-78.6,-30.01,-46.8,-187.8,192.63
1681389498.1848216,0.0,0.0,0.3,0.023388671509692285,49.5,-181.5,-207.64,-191.1,-241.5,517.88,-39.6,-77.1,-27.59,-46.2,-187.5,195.05
1681389498.2171566,0.0,0.0,0.3,0.023388671509692285,48.0,-181.8,-209.09,-194.1,-240.3,516.43,-41.7,-76.8,-29.52,-45.3,-186.9,196.5
1681389498.2332006,0.0,0.0,0.3,0.023388671509692285,49.2,-180.6,-208.12,-191.7,-242.4,518.36,-39.3,-78.9,-30.98,-45.0,-186.9,194.57
1681389498.2645707,0.0,0.0,0.3,0.023388671509692285,47.4,-179.7,-208.12,-193.2,-240.0,516.43,-37.8,-79.8,-30.01,-46.2,-186.6,198.44
1681389498.2828176,0.0,0.0,0.3,0.023388671509692285,48.3,-182.4,-205.22,-190.5,-243.3,517.4,-40.8,-77.1,-28.56,-44.7,-188.4,196.5
1681389498.312948,0.0,0.0,0.3,0.023388671509692285,48.0,-181.2,-206.18,-193.8,-242.1,515.94,-42.3,-78.3,-31.46,-45.9,-186.6,193.6
1681389498.328992,0.0,0.0,0.3,0.023388671509692285,48.0,-180.3,-207.64,-195.0,-240.0,521.27,-41.4,-76.2,-34.36,-46.5,-187.2,194.57
1681389498.3602333,0.0,0.0,0.3,0.023388671509692285,46.8,-181.8,-206.18,-192.0,-240.9,514.49,-40.5,-77.4,-30.01,-45.3,-186.9,193.6
1681389498.375873,0.0,0.0,0.3,0.023388671509692285,49.8,-181.2,-205.7,-191.7,-240.9,517.88,-39.6,-77.7,-28.07,-45.6,-187.8,194.57
1681389498.408124,0.0,0.0,0.3,0.023388671509692285,49.2,-181.8,-208.12,-192.0,-242.1,517.4,-41.7,-73.8,-30.01,-46.5,-188.7,196.5
1681389498.424165,0.0,0.0,0.3,0.023388671509692285,48.6,-179.7,-205.7,-194.1,-244.2,518.85,-38.1,-78.6,-25.65,-44.4,-185.7,195.54
1681389498.4579577,0.0,0.0,0.3,0.023388671509692285,47.7,-181.5,-206.67,-192.0,-242.7,519.33,-39.3,-78.0,-30.98,-45.0,-187.5,197.47
1681389498.4721327,0.0,0.0,0.3,0.023388671509692285,49.2,-179.4,-204.25,-194.4,-242.4,519.33,-40.2,-80.7,-32.91,-43.8,-187.5,197.47
1681389498.5047026,0.0,0.0,0.3,0.023388671509692285,46.2,-180.9,-205.22,-192.6,-242.7,521.75,-39.3,-77.1,-34.36,-44.1,-184.8,196.5
1681389498.5212264,0.0,0.0,0.3,0.023388671509692285,48.3,-180.9,-205.22,-191.7,-240.6,519.82,-39.6,-78.3,-30.98,-44.1,-188.1,196.99
1681389498.5538538,0.0,0.0,0.3,0.023388671509692285,46.8,-183.0,-205.22,-192.6,-240.9,518.36,-39.9,-78.6,-31.46,-45.3,-186.3,196.99
1681389498.5688593,0.0,0.0,0.3,0.023388671509692285,49.5,-181.8,-203.76,-191.7,-242.1,516.91,-39.6,-78.0,-31.94,-43.8,-187.5,194.57
1681389498.6007638,0.0,0.0,0.3,0.023315352790226167,49.2,-182.1,-206.67,-190.5,-241.2,522.24,-39.6,-77.1,-29.04,-45.6,-186.6,195.05
1681389498.6180413,0.0,0.0,0.3,0.023315352790226167,48.6,-179.7,-207.15,-192.3,-243.0,519.33,-38.7,-78.0,-30.01,-46.2,-187.8,195.05
1681389498.6492047,0.0,0.0,0.3,0.023315352790226167,48.0,-180.9,-204.73,-192.6,-241.2,517.4,-40.5,-77.7,-28.56,-44.4,-186.0,196.99
1681389498.6636515,0.0,0.0,0.3,0.023315352790226167,48.3,-180.6,-207.64,-192.9,-241.5,517.88,-42.0,-79.5,-28.07,-45.6,-185.7,196.5
1681389498.6953537,0.0,0.0,0.3,0.023315352790226167,48.6,-183.0,-206.18,-193.2,-243.6,516.91,-37.8,-77.7,-30.01,-44.4,-186.6,197.47
1681389498.7114067,0.0,0.0,0.3,0.023315352790226167,48.9,-182.4,-203.76,-193.8,-240.3,516.43,-39.0,-76.2,-28.07,-43.8,-186.9,195.05
1681389498.7434852,0.0,0.0,0.3,0.023315352790226167,47.1,-181.5,-202.8,-191.1,-240.3,516.43,-40.5,-75.6,-29.04,-45.3,-189.6,193.12
1681389498.7620127,0.0,0.0,0.3,0.023242034070760042,49.2,-183.0,-206.67,-190.2,-239.1,518.85,-42.0,-78.0,-29.04,-44.7,-186.0,195.54
1681389498.7921088,0.0,0.0,0.3,0.023242034070760042,47.1,-181.5,-209.09,-190.8,-242.4,516.91,-39.9,-77.7,-30.01,-46.5,-186.9,195.05
1681389498.8084528,0.0,0.0,0.3,0.023242034070760042,47.4,-181.2,-206.67,-191.7,-242.7,515.94,-39.3,-78.3,-29.52,-45.9,-187.5,194.57
1681389498.839711,0.0,0.0,0.3,0.023242034070760042,48.0,-181.8,-205.7,-191.7,-240.9,515.46,-38.4,-78.0,-27.59,-43.8,-187.2,197.96
1681389498.8558114,0.0,0.0,0.3,0.023242034070760042,48.0,-180.9,-205.7,-192.9,-243.0,518.36,-40.5,-76.5,-28.56,-47.1,-186.3,196.02
1681389498.887476,0.0,0.0,0.3,0.023242034070760042,49.2,-182.1,-203.76,-194.1,-242.7,520.3,-39.9,-75.6,-26.62,-46.8,-187.5,196.02
1681389498.9054382,0.0,0.0,0.3,0.023242034070760042,47.4,-179.4,-208.6,-192.9,-240.9,520.3,-39.6,-79.8,-30.49,-44.4,-187.8,195.54
1681389498.9356298,0.0,0.0,0.3,0.023168715351293924,50.4,-180.9,-206.18,-192.0,-239.7,518.36,-39.0,-75.9,-30.49,-45.0,-185.7,195.05
1681389498.9518855,0.0,0.0,0.3,0.023168715351293924,48.6,-180.0,-204.73,-190.5,-241.2,518.85,-38.4,-77.1,-29.52,-48.0,-188.7,192.15
1681389498.9832416,0.0,0.0,0.3,0.023168715351293924,50.4,-181.2,-206.18,-192.3,-241.5,516.43,-39.3,-77.7,-30.98,-43.8,-186.3,194.08
1681389499.0007498,0.0,0.0,0.3,0.023168715351293924,48.0,-180.0,-206.67,-192.6,-241.8,519.82,-40.8,-78.6,-30.98,-45.9,-186.0,192.63
1681389499.0313346,0.0,0.0,0.3,0.023168715351293924,50.1,-180.6,-205.22,-193.5,-240.6,518.36,-40.2,-76.2,-28.56,-45.6,-187.2,194.08
1681389499.0557673,0.0,0.0,0.3,0.023168715351293924,48.9,-183.9,-206.18,-192.0,-242.7,516.91,-39.9,-78.3,-29.52,-43.8,-188.4,196.5
1681389499.0791905,0.0,0.0,0.3,0.023168715351293924,48.0,-181.8,-205.22,-192.3,-243.6,520.78,-39.9,-77.4,-32.43,-46.8,-186.0,194.08
1681389499.1007767,0.0,0.0,0.3,0.023095396631827803,48.0,-178.8,-202.31,-191.4,-240.6,516.91,-39.3,-78.6,-27.1,-45.0,-186.0,194.08
1681389499.1273236,0.0,0.0,0.3,0.023095396631827803,48.9,-181.5,-206.67,-191.4,-240.6,518.85,-40.2,-75.9,-31.46,-46.2,-188.1,194.57
1681389499.1437316,0.0,0.0,0.3,0.023095396631827803,48.0,-180.3,-204.73,-192.0,-240.9,516.43,-40.2,-77.1,-28.56,-45.3,-186.9,197.47
1681389499.1750178,0.0,0.0,0.3,0.023095396631827803,47.7,-180.6,-207.15,-192.9,-241.5,515.46,-42.6,-77.4,-30.98,-46.8,-189.0,194.57
1681389499.19103,0.0,0.0,0.3,0.023095396631827803,48.6,-182.4,-206.18,-192.6,-242.1,519.82,-40.2,-76.8,-32.43,-43.5,-188.1,195.54
1681389499.2230413,0.0,0.0,0.3,0.023095396631827803,50.7,-180.9,-205.7,-192.6,-241.8,516.91,-42.6,-76.2,-31.94,-44.4,-189.0,195.05
1681389499.2387488,0.0,0.0,0.3,0.023095396631827803,46.2,-182.7,-204.25,-192.9,-242.7,518.36,-42.3,-79.8,-28.56,-42.3,-187.8,195.05
1681389499.2718267,0.0,0.0,0.3,0.023095396631827803,48.9,-179.4,-205.7,-194.1,-240.6,518.36,-39.6,-77.7,-31.46,-43.2,-185.4,193.12
1681389499.286295,0.0,0.0,0.3,0.023095396631827803,47.4,-183.3,-207.64,-193.2,-241.2,517.88,-40.5,-78.6,-29.04,-45.0,-189.6,196.02
1681389499.3182447,0.0,0.0,0.3,0.023095396631827803,49.2,-182.1,-206.18,-194.1,-241.8,520.3,-43.8,-77.1,-27.1,-47.7,-186.3,196.5
1681389499.334297,0.0,0.0,0.3,0.023095396631827803,47.1,-182.7,-206.18,-192.6,-241.2,514.98,-39.9,-77.7,-26.62,-44.4,-187.2,196.02
1681389499.3654938,0.0,0.0,0.3,0.023022077912361685,45.3,-180.0,-205.22,-192.9,-242.7,519.33,-41.4,-77.1,-29.52,-46.2,-185.1,194.08
1681389499.3807423,0.0,0.0,0.3,0.023022077912361685,50.4,-179.7,-205.22,-192.0,-241.2,518.85,-40.2,-78.0,-30.49,-45.6,-187.2,196.5
1681389499.4124095,0.0,0.0,0.3,0.023022077912361685,46.2,-181.8,-204.25,-191.7,-239.4,516.43,-40.8,-77.1,-31.46,-45.6,-186.0,196.99
1681389499.4287105,0.0,0.0,0.3,0.023022077912361685,46.8,-181.5,-204.73,-191.1,-238.2,516.43,-42.0,-76.8,-29.04,-46.5,-187.2,193.6
1681389499.4599996,0.0,0.0,0.3,0.023022077912361685,48.6,-178.8,-204.25,-189.0,-241.8,519.82,-40.8,-77.4,-26.62,-44.7,-186.6,192.63
1681389499.4760106,0.0,0.0,0.3,0.023022077912361685,48.6,-181.5,-203.28,-192.9,-240.9,517.4,-39.9,-78.6,-26.62,-44.1,-186.6,191.18
1681389499.5073247,0.0,0.0,0.3,0.023022077912361685,47.1,-180.6,-205.7,-190.5,-240.6,516.91,-39.3,-77.4,-30.01,-45.6,-185.7,196.99
1681389499.5233579,0.0,0.0,0.3,0.023022077912361685,47.4,-182.7,-205.7,-194.7,-241.2,520.78,-39.6,-76.2,-29.52,-45.0,-187.5,197.47
1681389499.554362,0.0,0.0,0.3,0.023022077912361685,49.2,-181.5,-206.67,-193.2,-241.2,516.43,-38.7,-77.7,-28.56,-46.2,-186.3,198.44
1681389499.5702486,0.0,0.0,0.3,0.023022077912361685,47.7,-180.0,-206.67,-192.3,-241.5,517.88,-41.7,-76.5,-28.07,-45.0,-188.4,196.5
1681389504.2884638,0.0,0.0,0.6,0.0842432086665719,49.5,-184.2,-218.28,-193.2,-247.8,517.88,-40.5,-77.7,-29.52,-27.0,-171.0,213.44
1681389504.319833,0.0,0.0,0.6,0.08468312098336861,48.3,-182.4,-214.41,-194.7,-249.3,513.04,-40.8,-78.6,-30.49,-26.4,-169.2,212.48
1681389504.3360784,0.0,0.0,0.6,0.08468312098336861,48.6,-181.5,-216.35,-194.1,-248.7,512.56,-38.4,-78.3,-30.01,-26.7,-171.0,212.48
1681389504.3676085,0.0,0.0,0.6,0.08475643970283474,49.5,-183.0,-219.25,-193.2,-250.5,516.43,-39.6,-77.4,-34.36,-27.6,-170.4,215.86
1681389504.383399,0.0,0.0,0.6,0.08475643970283474,47.4,-180.6,-214.41,-193.8,-250.2,514.49,-40.2,-77.1,-30.01,-28.5,-170.4,211.99
1681389504.4150424,0.0,0.0,0.6,0.08482975842230085,49.8,-180.3,-217.32,-192.6,-247.8,515.94,-39.3,-79.2,-30.49,-27.3,-171.0,214.41
1681389504.4310865,0.0,0.0,0.6,0.08512303330016532,48.3,-182.4,-216.35,-191.7,-248.7,513.04,-39.9,-78.6,-29.52,-28.2,-169.8,212.48
1681389504.462754,0.0,0.0,0.6,0.08512303330016532,49.5,-183.0,-215.38,-191.4,-249.6,513.04,-39.6,-78.9,-30.01,-27.9,-169.8,210.06
1681389504.4784055,0.0,0.0,0.6,0.08512303330016532,49.5,-182.4,-217.8,-194.1,-250.8,517.88,-38.4,-76.8,-28.56,-26.7,-170.4,212.96
1681389504.51046,0.0,0.0,0.6,0.08512303330016532,49.5,-184.5,-214.9,-193.5,-247.5,518.85,-40.2,-77.1,-32.43,-26.7,-170.1,213.44
1681389504.5268981,0.0,0.0,0.6,0.08519635201963145,47.7,-181.8,-218.77,-195.3,-248.4,517.4,-39.9,-78.9,-30.49,-27.6,-169.5,211.99
