time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1681377033.773741,0.0,0.0,0.3,0.029400806505914125,59.7,54.3,31.94,-51.9,-45.6,103.58,791.7,494.1,554.18,-73.5,61.8,262.33
1681377033.7958717,0.0,0.0,0.3,0.029474125225380243,60.6,55.8,33.4,-49.2,-46.5,105.51,791.1,496.2,553.21,-73.5,59.4,261.84
1681377033.8178332,0.0,0.0,0.3,0.029474125225380243,58.2,53.1,32.43,-51.9,-46.2,107.45,791.1,495.3,555.63,-73.2,60.9,264.26
1681377033.8400307,0.0,0.0,0.3,0.029547443944846367,57.9,55.2,31.46,-51.3,-45.0,106.96,790.8,496.8,550.31,-73.8,63.6,265.23
1681377033.8626842,0.0,0.0,0.3,0.029547443944846367,59.7,54.9,33.4,-53.4,-45.0,103.09,792.0,496.5,556.12,-72.9,62.4,260.39
1681377033.8839562,0.0,0.0,0.3,0.029547443944846367,57.9,54.9,31.46,-50.4,-47.7,107.45,790.8,495.9,553.21,-72.6,63.0,262.33
1681377033.9065397,0.0,0.0,0.3,0.029547443944846367,59.1,56.4,31.94,-52.2,-47.1,106.48,791.4,496.2,553.7,-72.9,62.4,263.78
1681377033.9283655,0.0,0.0,0.3,0.029620762664312485,58.5,55.2,32.91,-54.3,-45.0,106.0,791.4,496.2,553.7,-73.5,61.2,263.78
1681377033.9503279,0.0,0.0,0.3,0.029620762664312485,59.1,53.7,32.91,-51.0,-46.8,108.42,788.4,494.7,555.63,-73.8,62.1,260.39
1681377033.972039,0.0,0.0,0.3,0.029620762664312485,58.5,53.1,32.91,-51.6,-47.1,106.96,790.5,496.2,553.7,-72.0,60.6,262.81
1681377033.99396,0.0,0.0,0.3,0.029840718822710843,60.9,52.8,32.43,-51.3,-46.8,104.54,788.7,495.6,550.79,-74.4,61.8,263.78
1681377034.0157096,0.0,0.0,0.3,0.029840718822710843,58.8,54.6,30.49,-50.4,-46.8,108.9,790.5,495.9,551.76,-72.0,60.0,264.75
1681377034.036985,0.0,0.0,0.3,0.029914037542176964,58.8,55.8,32.91,-51.6,-46.2,106.96,788.4,496.5,554.18,-73.8,62.1,262.33
1681377034.059398,0.0,0.0,0.3,0.029914037542176964,58.2,51.9,31.94,-50.1,-47.4,106.48,790.5,495.3,558.54,-73.5,63.0,261.84
1681377034.0819573,0.0,0.0,0.3,0.029914037542176964,59.1,55.2,30.98,-51.0,-47.1,106.0,792.0,492.9,552.73,-71.4,61.8,262.33
1681377034.1039588,0.0,0.0,0.3,0.029914037542176964,58.2,54.3,30.01,-49.2,-47.1,106.96,790.8,494.7,553.7,-71.7,61.8,264.75
1681377034.1254246,0.0,0.0,0.3,0.029987356261643082,57.0,53.4,32.91,-50.7,-48.3,108.42,792.0,495.9,553.7,-70.8,58.5,264.75
1681377034.1469576,0.0,0.0,0.3,0.029987356261643082,60.9,54.3,30.98,-51.0,-47.1,103.58,790.5,496.8,553.7,-72.0,61.2,261.84
1681377034.1695588,0.0,0.0,0.3,0.029987356261643082,56.4,54.0,31.94,-52.2,-49.5,105.03,790.8,495.6,553.7,-74.4,59.4,263.3
1681377034.1911876,0.0,0.0,0.3,0.029987356261643082,57.0,53.4,31.46,-51.3,-46.5,107.93,790.8,493.5,553.7,-73.5,61.5,266.2
1681377034.2130105,0.0,0.0,0.3,0.029987356261643082,59.1,53.4,30.49,-51.3,-47.4,104.06,790.5,496.2,555.63,-72.9,62.4,261.84
1681377034.235253,0.0,0.0,0.3,0.029987356261643082,61.8,54.3,29.52,-49.8,-48.3,109.38,790.2,495.6,555.63,-71.7,60.3,264.26
1681377034.25872,0.0,0.0,0.3,0.029987356261643082,60.0,54.3,30.49,-51.6,-45.9,108.42,789.3,494.1,552.73,-71.7,60.9,264.75
1681377034.2786012,0.0,0.0,0.3,0.029987356261643082,60.9,54.3,31.94,-50.7,-48.3,106.96,791.4,497.1,554.18,-74.1,61.2,264.75
1681377034.301569,0.0,0.0,0.3,0.029987356261643082,58.5,54.6,31.94,-51.3,-46.5,107.45,789.3,495.6,551.28,-73.2,61.8,262.33
1681377034.322654,0.0,0.0,0.3,0.029987356261643082,58.5,54.3,31.94,-50.4,-45.9,106.96,789.3,497.1,552.73,-71.1,62.1,262.33
1681377034.3447168,0.0,0.0,0.3,0.029987356261643082,58.8,53.4,30.49,-51.3,-46.2,108.42,795.0,493.8,553.21,-71.1,62.7,265.72
1681377034.3665352,0.0,0.0,0.3,0.029987356261643082,58.2,54.6,31.46,-52.5,-48.3,107.93,789.3,494.1,555.63,-72.3,61.8,263.3
1681377034.3880382,0.0,0.0,0.3,0.029987356261643082,58.5,53.4,32.91,-52.2,-45.3,104.06,794.1,494.7,550.79,-72.6,61.8,266.2
1681377034.4103143,0.0,0.0,0.3,0.029987356261643082,59.7,54.3,32.43,-51.3,-47.1,108.42,791.1,495.3,553.21,-70.8,60.6,262.33
1681377034.431833,0.0,0.0,0.3,0.029987356261643082,58.5,51.9,33.4,-52.2,-46.8,103.58,792.0,494.7,555.15,-72.6,61.8,262.81
1681377034.4544256,0.0,0.0,0.3,0.029987356261643082,59.7,53.1,30.01,-48.9,-46.8,106.48,789.0,497.1,552.73,-71.1,60.6,265.72
1681377034.4764469,0.0,0.0,0.3,0.029914037542176964,57.0,54.6,33.4,-51.6,-43.5,109.87,789.3,497.1,556.12,-72.9,61.2,261.36
1681377034.49886,0.0,0.0,0.3,0.029914037542176964,60.0,54.0,32.43,-49.5,-47.4,105.03,790.8,495.9,554.66,-72.0,60.3,261.84
1681377034.5213187,0.0,0.0,0.3,0.029914037542176964,57.9,54.3,34.36,-54.3,-46.5,106.48,789.9,496.5,554.18,-71.7,60.0,263.3
1681377034.5426576,0.0,0.0,0.3,0.029914037542176964,62.1,54.6,30.49,-51.9,-47.7,104.06,790.8,492.9,553.7,-74.4,63.0,260.39
1681377034.564855,0.0,0.0,0.3,0.029914037542176964,59.7,53.1,32.43,-51.9,-46.2,106.0,790.5,496.2,554.18,-73.2,60.3,264.75
1681377034.5862045,0.0,0.0,0.3,0.029914037542176964,57.0,55.2,34.36,-51.3,-46.8,109.87,789.6,496.5,555.63,-72.0,60.9,261.84
1681377034.6080618,0.0,0.0,0.3,0.029914037542176964,58.8,54.0,32.43,-53.7,-47.7,105.03,790.5,495.3,552.24,-71.4,61.8,263.3
1681377034.630421,0.0,0.0,0.3,0.029914037542176964,59.4,54.9,33.88,-51.9,-46.8,106.96,791.4,498.3,554.66,-74.1,62.4,264.75
1681377034.6519952,0.0,0.0,0.3,0.029914037542176964,59.7,56.4,30.98,-51.3,-46.2,109.87,789.3,498.3,549.82,-72.6,59.1,262.33
1681377034.6740859,0.0,0.0,0.3,0.029914037542176964,58.8,52.8,32.43,-51.3,-46.2,107.93,790.8,496.5,551.76,-73.2,61.2,265.23
1681377034.6957674,0.0,0.0,0.3,0.029840718822710843,57.0,51.9,32.43,-52.5,-45.9,108.42,793.2,496.2,555.63,-72.3,59.7,264.75
1681377034.7181597,0.0,0.0,0.3,0.029840718822710843,60.6,54.6,30.49,-53.1,-48.0,107.93,790.8,497.7,558.05,-73.5,62.7,262.33
1681377034.7395933,0.0,0.0,0.3,0.029840718822710843,58.5,55.5,28.56,-51.9,-46.2,108.42,791.4,495.6,550.79,-72.0,62.1,264.75
1681377034.7612007,0.0,0.0,0.3,0.029840718822710843,58.2,54.0,30.01,-52.2,-48.0,103.58,791.1,494.1,554.18,-71.7,60.0,263.3
1681377034.7841349,0.0,0.0,0.3,0.029840718822710843,58.5,53.7,30.01,-51.3,-48.0,106.96,790.2,495.3,551.28,-71.4,62.1,264.75
1681377034.8053725,0.0,0.0,0.3,0.029840718822710843,57.9,53.1,29.04,-51.3,-45.9,107.45,790.8,497.7,551.28,-74.7,60.0,261.84
1681377034.8280718,0.0,0.0,0.3,0.029840718822710843,58.2,54.0,33.4,-51.3,-47.7,108.9,789.9,492.9,550.79,-74.1,60.3,263.3
1681377034.849317,0.0,0.0,0.3,0.029840718822710843,58.5,57.3,31.46,-51.0,-46.8,108.42,790.5,497.1,555.15,-74.1,62.7,262.33
1681377034.8709693,0.0,0.0,0.3,0.029840718822710843,57.0,57.0,30.98,-52.5,-45.0,106.48,793.5,496.5,552.24,-74.1,60.9,267.17
1681377034.892739,0.0,0.0,0.3,0.029840718822710843,58.2,53.7,30.49,-51.3,-46.5,104.06,792.6,496.2,554.18,-74.4,61.5,265.72
1681377034.9153948,0.0,0.0,0.3,0.029840718822710843,59.1,55.2,30.49,-51.3,-44.7,108.9,792.0,495.0,554.18,-73.5,61.2,263.78
1681377034.9363801,0.0,0.0,0.3,0.029840718822710843,58.8,54.0,34.36,-51.3,-46.5,108.9,789.9,495.6,553.21,-72.3,62.1,262.81
1681377034.959563,0.0,0.0,0.3,0.029840718822710843,61.2,53.1,30.49,-51.9,-46.5,107.93,792.9,496.8,555.63,-73.2,62.7,266.2
1681377034.9812677,0.0,0.0,0.3,0.029767400103244725,58.8,50.1,32.91,-50.7,-44.7,108.9,791.7,497.7,549.82,-73.8,59.7,263.78
1681377035.002885,0.0,0.0,0.3,0.029767400103244725,58.2,54.9,30.98,-50.4,-47.4,106.96,791.1,496.8,555.63,-72.9,62.7,263.78
1681377035.0259137,0.0,0.0,0.3,0.029767400103244725,58.2,53.7,30.98,-51.3,-46.5,105.51,791.1,496.2,552.73,-73.2,62.1,264.26
1681377035.046825,0.0,0.0,0.3,0.029767400103244725,58.2,55.2,33.4,-50.4,-45.0,107.45,791.1,495.3,552.24,-72.9,60.3,263.78
1681377035.0693867,0.0,0.0,0.3,0.029767400103244725,60.0,54.3,34.85,-52.2,-45.9,107.93,791.7,494.1,554.18,-75.0,60.9,263.3
1681377035.0902193,0.0,0.0,0.3,0.029767400103244725,57.0,53.1,31.94,-51.3,-45.9,106.96,790.5,495.0,552.24,-72.0,59.7,262.81
1681377035.1123369,0.0,0.0,0.3,0.029767400103244725,57.9,55.8,33.4,-52.5,-46.2,104.54,791.1,492.9,553.7,-73.2,61.5,265.72
1681377035.13425,0.0,0.0,0.3,0.029694081383778603,61.5,55.5,33.88,-50.7,-46.2,109.87,790.8,494.7,553.7,-72.6,63.0,263.78
1681377035.1571958,0.0,0.0,0.3,0.029694081383778603,58.8,54.0,34.36,-52.2,-46.8,104.54,788.7,494.1,553.7,-74.4,63.6,264.75
1681377035.1796672,0.0,0.0,0.3,0.029694081383778603,57.9,54.9,32.91,-52.2,-46.5,106.48,791.4,492.9,553.7,-70.8,61.5,265.72
1681377035.207877,0.0,0.0,0.3,0.029694081383778603,59.1,54.0,31.94,-52.2,-45.0,103.58,791.1,496.5,553.21,-73.8,62.4,262.33
1681377035.2226624,0.0,0.0,0.3,0.029694081383778603,59.1,53.4,34.36,-50.7,-45.0,107.45,790.8,496.2,554.18,-73.2,60.3,266.2
1681377035.2459486,0.0,0.0,0.3,0.029620762664312485,59.7,53.4,30.49,-50.1,-47.7,106.48,793.5,495.3,551.76,-70.8,61.2,262.81
1681377035.266657,0.0,0.0,0.3,0.029620762664312485,59.1,56.7,30.49,-53.7,-45.0,108.42,791.1,494.4,554.18,-71.1,62.4,262.33
1681377035.2883363,0.0,0.0,0.3,0.029620762664312485,57.9,55.2,31.94,-51.0,-45.3,106.96,790.8,497.1,556.12,-71.1,61.2,263.78
1681377035.3108594,0.0,0.0,0.3,0.029620762664312485,58.8,53.1,31.46,-52.2,-49.2,107.45,792.0,496.2,550.31,-72.6,59.7,262.81
1681377035.332114,0.0,0.0,0.3,0.029327487786448003,57.3,54.0,32.43,-52.5,-47.4,105.51,792.6,496.8,551.76,-72.6,62.1,260.88
1681377035.3542626,0.0,0.0,0.3,0.029327487786448003,59.4,52.8,31.94,-52.5,-44.1,108.42,789.9,496.5,551.76,-74.1,61.2,263.78
1681377035.37754,0.0,0.0,0.3,0.029327487786448003,58.2,53.7,30.98,-49.2,-47.4,106.96,791.1,496.5,554.66,-75.6,61.2,263.78
1681377035.3989713,0.0,0.0,0.3,0.029327487786448003,59.7,53.1,32.43,-52.2,-47.1,108.42,790.2,495.6,553.7,-72.3,63.6,265.72
1681377035.4204257,0.0,0.0,0.3,0.029327487786448003,60.0,54.6,33.4,-51.9,-45.9,106.48,792.3,497.1,555.15,-72.0,61.8,267.17
1681377035.4427915,0.0,0.0,0.3,0.029327487786448003,57.6,54.0,30.98,-52.2,-45.9,106.0,790.5,494.7,553.7,-74.4,60.6,264.26
1681377035.4641492,0.0,0.0,0.3,0.029327487786448003,58.8,54.6,30.49,-52.2,-46.8,106.96,790.5,494.1,554.66,-70.8,61.8,260.88
1681377035.4873066,0.0,0.0,0.3,0.029327487786448003,57.9,54.0,34.36,-49.5,-49.8,108.42,789.9,495.9,551.76,-73.8,63.0,265.23
1681377035.5083156,0.0,0.0,0.3,0.029327487786448003,59.7,53.1,33.4,-49.8,-49.5,107.93,790.8,498.6,555.63,-72.6,60.0,264.26
1681377035.5288708,0.0,0.0,0.3,0.029327487786448003,57.9,52.8,36.3,-51.9,-46.2,106.96,790.2,495.9,553.21,-73.2,63.0,264.75
1681377035.5512035,0.0,0.0,0.3,0.029327487786448003,57.9,53.7,32.91,-51.6,-45.9,107.45,791.4,493.8,550.31,-76.8,61.2,263.78
1681377035.5736294,0.0,0.0,0.3,0.029327487786448003,57.6,53.4,33.4,-50.4,-46.2,105.51,792.3,495.9,556.6,-73.8,60.9,264.26
1681377035.5949073,0.0,0.0,0.3,0.029327487786448003,58.8,53.7,32.43,-52.2,-46.2,108.42,791.7,496.2,554.66,-71.7,59.1,258.94
1681377035.6181972,0.0,0.0,0.3,0.029327487786448003,58.8,54.3,31.46,-50.1,-47.1,107.93,792.3,495.6,551.28,-73.5,60.3,264.26
1681377035.6400735,0.0,0.0,0.3,0.029327487786448003,57.9,55.8,33.88,-52.8,-48.0,106.0,792.3,495.6,553.21,-74.1,62.1,265.23
1681377035.662005,0.0,0.0,0.3,0.029327487786448003,58.8,53.4,33.88,-51.9,-47.1,103.09,792.0,497.1,554.18,-72.0,59.4,264.75
1681377035.6844618,0.0,0.0,0.3,0.029327487786448003,57.9,57.3,32.91,-52.2,-45.9,107.45,790.8,497.4,552.73,-73.8,60.3,264.75
1681377035.7058437,0.0,0.0,0.3,0.029327487786448003,58.2,55.5,30.98,-51.6,-47.4,105.03,789.6,496.2,554.18,-74.4,60.9,263.78
1681377035.7281678,0.0,0.0,0.3,0.029327487786448003,59.4,54.9,32.43,-51.3,-47.4,107.45,791.7,495.0,552.24,-74.1,60.3,260.88
1681377035.7487624,0.0,0.0,0.3,0.029327487786448003,58.5,54.6,31.46,-53.1,-45.6,104.54,792.3,495.3,554.18,-72.6,60.6,262.81
